humidity,timeout,temp,co2,time
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.0, 61.0, 65535.0, 12.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:00
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.0, 61.0, 65535.0, 12.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:02
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.0, 61.0, 65535.0, 12.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:03
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[86.0, 61.0, 65535.0, 12.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:04
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[91.0, 67.0, 65535.0, 17.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:05
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[91.0, 67.0, 65535.0, 17.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:06
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[91.0, 67.0, 65535.0, 17.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:08
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[91.0, 67.0, 65535.0, 17.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:09
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[96.0, 72.0, 65535.0, 22.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:10
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[96.0, 72.0, 65535.0, 22.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:11
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[96.0, 72.0, 65535.0, 22.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:13
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[96.0, 72.0, 65535.0, 22.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:14
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 77.0, 65535.0, 27.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:15
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 77.0, 65535.0, 27.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:16
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 77.0, 65535.0, 27.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:18
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 77.0, 65535.0, 27.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:19
